name,location,sector,website,description
Dissident Sound ,London,Music,http://www.dissidentsoundindustry.com/ ,"DSI Studios is a first-rate rehearsal / recording facility located close to Bruce Grove station. It is being run as a social enterprise by volunteers to provide a genuinely creative space for bands / musicians and to offer facilities which we believe cannot be beaten by any other studio in London for the combination of quality equipment, large rehearsal spaces and low cost. 
We offer 2 large acoustically-treated practice spaces equipped to a very high standard, and a wide choice of amps. We try to ensure bands can rehearse with a setup which is of the standard you could expect on the stage of a good venue. Rehearsal room one includes a permanent dedicated recording setup to allow you to record your practice - this yields excellent results. Our engineers can also create full multi-track recordings in our hi-spec control room with dedicated vocal booth. All recording and mixing areas are also fully acoustically treated. 
We offer a range of other services including vocal recording, live drum recording, post- production, mixing, video editing, composition, voice-over / jingle creation, loop / backing track creation, music tuition, CD duplication, full live sound and backline hire and many more services for bands and musicians at all stages of development.
Our passion is to facilitate your creativity within a friendly, positive, community-minded environment. We are open seven days a week"
Footprint,Leeds,Printing,http://www.footprinters.co.uk,"We are a small ecologically minded printers based in Leeds. We print booklets, zines, leaflets, stickers, newsletters, fliers, books, CD wallets and that sort of gubbins. We are a workers co-operative, working to high ethical standards (we only use recycled paper, we don't print for people with dodgy politics, powered by a proper green electricity tariff, etc). We want to be straightforward, friendly, responsible and responsive, rather than ‘aiming to deliver comprehensive multi-platform printing solutions to clients in the voluntary and vocationally challenged sectors’."
Surface Gallery ,Nottingham,Visual arts,http://www.surfacegallery.org/thegallery/ ,"Surface Gallery is the local, volunteer-led, Contemporary Art gallery of Nottingham.
We operate as a social enterprise celebrating and supporting the talent in our city, with a focus on engaging our immediate community and broadening participation in the arts. We are led by a co-operative team of early career professionals, who support each other in order to learn more about running a successful independent art gallery.
Located within Nottingham’s burgeoning Creative Quarter, Surface Gallery’s three-story building welcomes visitors and exhibitors to its two gallery spaces, nine artist studios and open plan office area."
Zed Books,London,Publishing,http://www.zedbooks.co.uk,
Open Audio,London,Media,http://openaudio.co.uk/,"Open Audio is a forward-thinking arts and media co-operative formed in April 2012 by Iain Chambers, Nina Perry and Vivienne Perry. The three directors have a wealth of experience and distinct skill-sets and styles with expertise in sound, radio, music composition and multi-media. Open Audio encourages collaboration between artists and media professionals to provide high quality, diverse multimedia services and arts projects."
The Bristol Cable,Brisol,Media,https://thebristolcable.org/,"The Bristol Cable is a media co-operative – created and owned by over 800 (and counting) people in the city. With free events and trainings, a multimedia website and a free quarterly print edition, The Bristol Cable  is redefining local journalism through challenging multimedia, community action and cooperative ownership. Online, in print and on the street."
Stiched Up,Chorlton,Fashion,http://www.stitchedup.coop,"Stitched Up started in 2011, with the aim of encouraging individuality, pride and sustainability through fashion and style. We are a grassroots collective that has grown from our passion for the environment, human-rights, style & creativity. Today we are a not-for-profit workers' cooperative who run garment making, mending & upcycling workshops at our HQ in Chorlton and out in the communities of Greater Manchester.
As well as this we offer drop-in clothes repair sessions, clothes swaps, sewing machine hire, social gatherings, film screenings and educational events that provide an alternative to the mass-produced exploitative fast fashion on the high street"
3Mules Co-op,Manchester,Digital agency,http://3mules.coop/,"We are a full service digital cooperative partnership providing affordable excellence to commercial businesses, 'social good' organisations, co-ops, charities and local government. From digital strategy and marketing to CMS-driven responsive websites, to web apps and bespoke programming, we have a wealth of expertise at your disposal."
Actorum,London,Acting,http://www.actorum.com,"Established in 1974, we are the world’s original actors’ co-operative. We operate on the principal of collective self-determination in the entertainment business. Our clients work in a range of mediums, covering major theatre and touring theatre companies, feature films, television, commercials and corporate work"
Webarchitects Internet Co-op,Sheffield,Web,https://www.webarchitects.coop/,"Webarchitects is an ethical 'green' internet services co-operative, providing everything necessary for customers' internet operations, and always pleased to help other co-ops. We use only sustainable power. Since 1998 we have been developing, maintaining and hosting servers and websites, coding and customising content management systems and other FLOSS (open source) web applications running on GNU/Linux servers. In 2011 we re-established ourselves as Webarch Co-operative Limited, In 2013 we merged with another ethical hosting co-operative, Ecohost, and we maintain this brand name. We also trade as Ecodissident through which we offer virtual servers and shared hosting in Iceland."
